link,site,year,title,score,answers,is_answered,families
https://quantumcomputing.stackexchange.com/questions/44021/qiskit-gives-different-statevectors-when-performing-partial-trace,quantumcomputing,2025,Qiskit gives different statevectors when performing partial trace,0,1,True,"ancilla_uncompute,general_builder"
https://quantumcomputing.stackexchange.com/questions/37740/failed-internal-error-when-running-on-ibmq,quantumcomputing,2024,Failed - Internal Error when running on ibmq,3,1,True,qft_round_trip
https://quantumcomputing.stackexchange.com/questions/23954/shors-algorithm-results-qiskit,quantumcomputing,2022,Shor&#39;s Algorithm Results - Qiskit,3,1,True,"general_builder,qft_round_trip"
https://quantumcomputing.stackexchange.com/questions/39143/unitary-transformation-for-qft-with-2-base-states-is-giving-the-columns-in-the-w,quantumcomputing,2024,Unitary Transformation for QFT with 2 base states is giving the columns in the wrong order,2,1,True,qft_round_trip
https://quantumcomputing.stackexchange.com/questions/40171/qpe-implementation-with-4-qubits,quantumcomputing,2024,QPE implementation with 4 qubits,1,1,True,qft_round_trip
https://quantumcomputing.stackexchange.com/questions/38364/how-to-get-partial-probability-from-measurements-in-qiskit,quantumcomputing,2024,How to get partial probability from measurements in qiskit?,1,1,True,classical_remap
https://quantumcomputing.stackexchange.com/questions/39815/analogy-between-jones-waveplates-calculus-and-qiskit-unitary-gates-calculus,quantumcomputing,2024,Analogy between Jones waveplates calculus and Qiskit unitary gates calculus,0,1,True,parameter_periodicity
https://quantumcomputing.stackexchange.com/questions/39982/what-are-expected-counts-for-simple-circuit-with-cnot-gate,quantumcomputing,2024,What are expected counts for simple circuit with CNOT gate?,0,1,True,general_builder
https://quantumcomputing.stackexchange.com/questions/31833/how-grouping-of-pauli-strings-is-handled-in-qiskit-when-running-vqe,quantumcomputing,2023,How grouping of Pauli strings is handled in Qiskit when running VQE?,3,1,True,input_permutation
https://quantumcomputing.stackexchange.com/questions/32300/qiskit-order-of-swap-gates,quantumcomputing,2023,Qiskit - order of swap gates,2,1,True,classical_remap
https://quantumcomputing.stackexchange.com/questions/34378/qiskit-qubit-ordering,quantumcomputing,2023,Qiskit qubit ordering,2,1,True,classical_remap
https://quantumcomputing.stackexchange.com/questions/34352/help-debugging-implementation-of-draper-qft-adder,quantumcomputing,2023,Help debugging implementation of Draper QFT adder,1,3,True,qft_round_trip
https://quantumcomputing.stackexchange.com/questions/27052/when-factoring-n-21-on-ibmq-devices-with-shors-algorithm-does-the-quantum-subr,quantumcomputing,2022,"When factoring N=21 on IBMQ Devices with Shor&#39;s algorithm, does the quantum subroutine require modular exponentiation?",2,1,True,qft_round_trip
https://quantumcomputing.stackexchange.com/questions/28272/why-a-fourier-adder-gives-multiple-faulty-results,quantumcomputing,2022,Why a Fourier Adder Gives Multiple Faulty Results?,0,1,True,qft_round_trip
https://quantumcomputing.stackexchange.com/questions/23778/is-the-blackbox-already-a-reversible-operator-or-are-we-the-ones-that-convert-i,quantumcomputing,2022,"Is the blackbox already a reversible operator, or are we the ones that convert it into one?",0,1,True,input_permutation
